MacRom UTF-8 NFC                                             UTF-8 NFD
[A6]   [C2B6] PILCROW SIGN                                   [C2B6] PILCROW SIGN
[A7]   [C39F] LATIN SMALL LETTER SHARP S                     [C39F] LATIN SMALL LETTER SHARP S
[A8]   [C2AE] REGISTERED SIGN                                [C2AE] REGISTERED SIGN
[A9]   [C2A9] COPYRIGHT SIGN                                 [C2A9] COPYRIGHT SIGN
[AA]   [E284A2] TRADE MARK SIGN                              [E284A2] TRADE MARK SIGN
[AB]   [C2B4] ACUTE ACCENT                                   [C2B4] ACUTE ACCENT
[AC]   [C2A8] DIAERESIS                                      [C2A8] DIAERESIS
[AD]   [E289A0] NOT EQUAL TO                                 [3D] EQUALS SIGN + [CCB8] COMBINING LONG SOLIDUS OVERLAY
[AE]   [C386] LATIN CAPITAL LETTER AE                        [C386] LATIN CAPITAL LETTER AE
[AF]   [C398] LATIN CAPITAL LETTER O WITH STROKE             [C398] LATIN CAPITAL LETTER O WITH STROKE
[B0]   [E2889E] INFINITY                                     [E2889E] INFINITY
[B1]   [C2B1] PLUS-MINUS SIGN                                [C2B1] PLUS-MINUS SIGN
[B2]   [E289A4] LESS-THAN OR EQUAL TO                        [E289A4] LESS-THAN OR EQUAL TO
[B3]   [E289A5] GREATER-THAN OR EQUAL TO                     [E289A5] GREATER-THAN OR EQUAL TO
[B4]   [C2A5] YEN SIGN                                       [C2A5] YEN SIGN
[B5]   [C2B5] MICRO SIGN                                     [C2B5] MICRO SIGN
[B6]   [E28882] PARTIAL DIFFERENTIAL                         [E28882] PARTIAL DIFFERENTIAL
[B7]   [E28891] N-ARY SUMMATION                              [E28891] N-ARY SUMMATION
[B8]   [E2888F] N-ARY PRODUCT                                [E2888F] N-ARY PRODUCT
[B9]   [CF80] GREEK SMALL LETTER PI                          [CF80] GREEK SMALL LETTER PI
[BA]   [E288AB] INTEGRAL                                     [E288AB] INTEGRAL
[BB]   [C2AA] FEMININE ORDINAL INDICATOR                     [C2AA] FEMININE ORDINAL INDICATOR
[BC]   [C2BA] MASCULINE ORDINAL INDICATOR                    [C2BA] MASCULINE ORDINAL INDICATOR
[BD]   [CEA9] GREEK CAPITAL LETTER OMEGA                     [CEA9] GREEK CAPITAL LETTER OMEGA
[BE]   [C3A6] LATIN SMALL LETTER AE                          [C3A6] LATIN SMALL LETTER AE
[BF]   [C3B8] LATIN SMALL LETTER O WITH STROKE               [C3B8] LATIN SMALL LETTER O WITH STROKE
[C0]   [C2BF] INVERTED QUESTION MARK                         [C2BF] INVERTED QUESTION MARK
[C1]   [C2A1] INVERTED EXCLAMATION MARK                      [C2A1] INVERTED EXCLAMATION MARK
[C2]   [C2AC] NOT SIGN                                       [C2AC] NOT SIGN
[C3]   [E2889A] SQUARE ROOT                                  [E2889A] SQUARE ROOT
[C4]   [C692] LATIN SMALL LETTER F WITH HOOK                 [C692] LATIN SMALL LETTER F WITH HOOK
[C5]   [E28988] ALMOST EQUAL TO                              [E28988] ALMOST EQUAL TO
[C6]   [E28886] INCREMENT                                    [E28886] INCREMENT
[C7]   [C2AB] LEFT-POINTING DOUBLE ANGLE QUOTATION MARK      [C2AB] LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
[C8]   [C2BB] RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK     [C2BB] RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
[C9]   [E280A6] HORIZONTAL ELLIPSIS                          [E280A6] HORIZONTAL ELLIPSIS
[CA]   [C2A0] NO-BREAK SPACE                                 [C2A0] NO-BREAK SPACE
[CB]   [C380] LATIN CAPITAL LETTER A WITH GRAVE              [41] LATIN CAPITAL LETTER A + [CC80] COMBINING GRAVE ACCENT
[CC]   [C383] LATIN CAPITAL LETTER A WITH TILDE              [41] LATIN CAPITAL LETTER A + [CC83] COMBINING TILDE
[CD]   [C395] LATIN CAPITAL LETTER O WITH TILDE              [4F] LATIN CAPITAL LETTER O + [CC83] COMBINING TILDE
[CE]   [C592] LATIN CAPITAL LIGATURE OE                      [C592] LATIN CAPITAL LIGATURE OE
[CF]   [C593] LATIN SMALL LIGATURE OE                        [C593] LATIN SMALL LIGATURE OE
[D0]   [E28093] EN DASH                                      [E28093] EN DASH
[D1]   [E28094] EM DASH                                      [E28094] EM DASH
[D2]   [E2809C] LEFT DOUBLE QUOTATION MARK                   [E2809C] LEFT DOUBLE QUOTATION MARK
[D3]   [E2809D] RIGHT DOUBLE QUOTATION MARK                  [E2809D] RIGHT DOUBLE QUOTATION MARK
[D4]   [E28098] LEFT SINGLE QUOTATION MARK                   [E28098] LEFT SINGLE QUOTATION MARK
[D5]   [E28099] RIGHT SINGLE QUOTATION MARK                  [E28099] RIGHT SINGLE QUOTATION MARK
[D6]   [C3B7] DIVISION SIGN                                  [C3B7] DIVISION SIGN
[D7]   [E2978A] LOZENGE                                      [E2978A] LOZENGE
[D8]   [C3BF] LATIN SMALL LETTER Y WITH DIAERESIS            [79] LATIN SMALL LETTER Y + [CC88] COMBINING DIAERESIS
[D9]   [C5B8] LATIN CAPITAL LETTER Y WITH DIAERESIS          [59] LATIN CAPITAL LETTER Y + [CC88] COMBINING DIAERESIS
[DA]   [E28184] FRACTION SLASH                               [E28184] FRACTION SLASH
[DB]   [E282AC] EURO SIGN                                    [E282AC] EURO SIGN
[DC]   [E280B9] SINGLE LEFT-POINTING ANGLE QUOTATION MARK    [E280B9] SINGLE LEFT-POINTING ANGLE QUOTATION MARK
[DD]   [E280BA] SINGLE RIGHT-POINTING ANGLE QUOTATION MARK   [E280BA] SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
[DE]   [EFAC81] LATIN SMALL LIGATURE FI                      [EFAC81] LATIN SMALL LIGATURE FI
[DF]   [EFAC82] LATIN SMALL LIGATURE FL                      [EFAC82] LATIN SMALL LIGATURE FL
[E0]   [E280A1] DOUBLE DAGGER                                [E280A1] DOUBLE DAGGER
[E1]   [C2B7] MIDDLE DOT                                     [C2B7] MIDDLE DOT
[E2]   [E2809A] SINGLE LOW-9 QUOTATION MARK                  [E2809A] SINGLE LOW-9 QUOTATION MARK
[E3]   [E2809E] DOUBLE LOW-9 QUOTATION MARK                  [E2809E] DOUBLE LOW-9 QUOTATION MARK
[E4]   [E280B0] PER MILLE SIGN                               [E280B0] PER MILLE SIGN
[E5]   [C382] LATIN CAPITAL LETTER A WITH CIRCUMFLEX         [41] LATIN CAPITAL LETTER A + [CC82] COMBINING CIRCUMFLEX ACCENT
[E6]   [C38A] LATIN CAPITAL LETTER E WITH CIRCUMFLEX         [45] LATIN CAPITAL LETTER E + [CC82] COMBINING CIRCUMFLEX ACCENT
[E7]   [C381] LATIN CAPITAL LETTER A WITH ACUTE              [41] LATIN CAPITAL LETTER A + [CC81] COMBINING ACUTE ACCENT
[E8]   [C38B] LATIN CAPITAL LETTER E WITH DIAERESIS          [45] LATIN CAPITAL LETTER E + [CC88] COMBINING DIAERESIS
[E9]   [C388] LATIN CAPITAL LETTER E WITH GRAVE              [45] LATIN CAPITAL LETTER E + [CC80] COMBINING GRAVE ACCENT
[EA]   [C38D] LATIN CAPITAL LETTER I WITH ACUTE              [49] LATIN CAPITAL LETTER I + [CC81] COMBINING ACUTE ACCENT
[EB]   [C38E] LATIN CAPITAL LETTER I WITH CIRCUMFLEX         [49] LATIN CAPITAL LETTER I + [CC82] COMBINING CIRCUMFLEX ACCENT
[EC]   [C38F] LATIN CAPITAL LETTER I WITH DIAERESIS          [49] LATIN CAPITAL LETTER I + [CC88] COMBINING DIAERESIS
[ED]   [C38C] LATIN CAPITAL LETTER I WITH GRAVE              [49] LATIN CAPITAL LETTER I + [CC80] COMBINING GRAVE ACCENT
[EE]   [C393] LATIN CAPITAL LETTER O WITH ACUTE              [4F] LATIN CAPITAL LETTER O + [CC81] COMBINING ACUTE ACCENT
[EF]   [C394] LATIN CAPITAL LETTER O WITH CIRCUMFLEX         [4F] LATIN CAPITAL LETTER O + [CC82] COMBINING CIRCUMFLEX ACCENT
[F0]   [EFA3BF] U+F8FF                                       [EFA3BF] U+F8FF
[F1]   [C392] LATIN CAPITAL LETTER O WITH GRAVE              [4F] LATIN CAPITAL LETTER O + [CC80] COMBINING GRAVE ACCENT
[F2]   [C39A] LATIN CAPITAL LETTER U WITH ACUTE              [55] LATIN CAPITAL LETTER U + [CC81] COMBINING ACUTE ACCENT
[F3]   [C39B] LATIN CAPITAL LETTER U WITH CIRCUMFLEX         [55] LATIN CAPITAL LETTER U + [CC82] COMBINING CIRCUMFLEX ACCENT
[F4]   [C399] LATIN CAPITAL LETTER U WITH GRAVE              [55] LATIN CAPITAL LETTER U + [CC80] COMBINING GRAVE ACCENT
[F5]   [C4B1] LATIN SMALL LETTER DOTLESS I                   [C4B1] LATIN SMALL LETTER DOTLESS I
[F6]   [CB86] MODIFIER LETTER CIRCUMFLEX ACCENT              [CB86] MODIFIER LETTER CIRCUMFLEX ACCENT
[F7]   [CB9C] SMALL TILDE                                    [CB9C] SMALL TILDE
[F8]   [C2AF] MACRON                                         [C2AF] MACRON
[F9]   [CB98] BREVE                                          [CB98] BREVE
[FA]   [CB99] DOT ABOVE                                      [CB99] DOT ABOVE
[FB]   [CB9A] RING ABOVE                                     [CB9A] RING ABOVE
[FC]   [C2B8] CEDILLA                                        [C2B8] CEDILLA
[FD]   [CB9D] DOUBLE ACUTE ACCENT                            [CB9D] DOUBLE ACUTE ACCENT
[FE]   [CB9B] OGONEK                                         [CB9B] OGONEK
[FF]   [CB87] CARON                                          [CB87] CARON
